date,month,value,type,mean,stdev,anom
27/09/2009,9.00,1.475286864,with correction,1.180670926,0.153433391,1.920155296
01/11/2009,11.00,1.520689918,with correction,1.326105077,0.214325315,0.907894807
02/01/2010,1.00,1.569502068,with correction,1.455232149,0.163730433,0.69791496
03/02/2010,2.00,1.482971149,with correction,1.372807156,0.12594535,0.874696792
07/03/2010,3.00,1.413300155,with correction,1.192007919,0.188399557,1.174590003
21/03/2010,3.00,1.3433452,with correction,1.192007919,0.188399557,0.803278324
01/04/2010,4.00,1.260898287,with correction,1.045748782,0.162939554,1.320425272
11/04/2010,4.00,1.176202823,with correction,1.045748782,0.162939554,0.800628438
21/04/2010,4.00,1.107247224,with correction,1.045748782,0.162939554,0.377431016
29/04/2010,4.00,1.045620239,with correction,1.045748782,0.162939554,-0.000788903
13/05/2010,5.00,0.985450649,with correction,0.939584997,0.125073075,0.366710838
30/05/2010,5.00,0.919867878,with correction,0.939584997,0.125073075,-0.157644792
03/07/2010,7.00,0.875925106,with correction,0.89647801,0.124188384,-0.165497799
30/07/2010,7.00,0.822612448,with correction,0.89647801,0.124188384,-0.594786401
25/08/2010,8.00,0.916864141,with correction,1.010118829,0.139559792,-0.668205984
06/09/2010,9.00,1.003147587,with correction,1.180670926,0.153433391,-1.157005901
16/09/2010,9.00,1.103749476,with correction,1.180670926,0.153433391,-0.501334485
27/09/2010,9.00,1.246532538,with correction,1.180670926,0.153433391,0.42925214
24/09/2010,9.00,1.175952984,with correction,1.180670926,0.153433391,-0.030749122
20/10/2010,10.00,1.322608552,with correction,1.307276418,0.141419388,0.10841607
14/11/2010,11.00,1.382694862,with correction,1.326105077,0.214325315,0.264036867
26/12/2010,12.00,1.444075793,with correction,1.34117191,0.174417511,0.589985965
08/02/2011,2.00,1.40055836,with correction,1.372807156,0.12594535,0.220343219
01/03/2011,3.00,1.343969797,with correction,1.192007919,0.188399557,0.806593607
08/03/2011,3.00,1.278387026,with correction,1.192007919,0.188399557,0.458488909
19/03/2011,3.00,1.213428853,with correction,1.192007919,0.188399557,0.113699493
25/03/2011,3.00,1.13410493,with correction,1.192007919,0.188399557,-0.307341428
05/04/2011,4.00,1.072894344,with correction,1.045748782,0.162939554,0.166598967
16/04/2011,4.00,0.989822834,with correction,1.045748782,0.162939554,-0.343231261
30/04/2011,4.00,0.90779232,with correction,1.045748782,0.162939554,-0.846672639
11/07/2011,7.00,0.92668178,with correction,0.89647801,0.124188384,0.243209298
26/07/2011,7.00,1.004813181,with correction,0.89647801,0.124188384,0.872345448
17/08/2011,8.00,1.071770068,with correction,1.010118829,0.139559792,0.441755021
04/09/2011,9.00,1.124236285,with correction,1.180670926,0.153433391,-0.367811994
14/09/2011,9.00,1.203435288,with correction,1.180670926,0.153433391,0.148366414
25/09/2011,9.00,1.308367722,with correction,1.180670926,0.153433391,0.832262096
23/09/2011,9.00,1.244658744,with correction,1.180670926,0.153433391,0.417039717
07/10/2011,10.00,1.367704514,with correction,1.307276418,0.141419388,0.427297117
21/10/2011,10.00,1.431413492,with correction,1.307276418,0.141419388,0.877793888
01/11/2011,11.00,1.489501089,with correction,1.326105077,0.214325315,0.762373834
01/12/2011,12.00,1.561115736,with correction,1.34117191,0.174417511,1.261019177
18/01/2012,1.00,1.456397405,with correction,1.455232149,0.163730433,0.007116918
01/02/2012,2.00,1.393562864,with correction,1.372807156,0.12594535,0.164799321
26/02/2012,2.00,1.337099221,with correction,1.372807156,0.12594535,-0.28351928
17/03/2012,3.00,1.277137831,with correction,1.192007919,0.188399557,0.451858343
02/04/2012,4.00,1.215510846,with correction,1.045748782,0.162939554,1.041871413
08/04/2012,4.00,1.152218267,with correction,1.045748782,0.162939554,0.653429335
21/04/2012,4.00,1.082263311,with correction,1.045748782,0.162939554,0.224098616
03/05/2012,5.00,1.01105916,with correction,0.939584997,0.125073075,0.571459226
28/05/2012,5.00,0.952939009,with correction,0.939584997,0.125073075,0.106769675
02/07/2012,7.00,0.919394805,with correction,0.89647801,0.124188384,0.184532517
06/08/2012,8.00,0.990447432,with correction,1.010118829,0.139559792,-0.140953186
17/08/2012,8.00,1.051658018,with correction,1.010118829,0.139559792,0.297644389
02/09/2012,9.00,1.114742398,with correction,1.180670926,0.153433391,-0.42968827
17/09/2012,9.00,1.182198962,with correction,1.180670926,0.153433391,0.009958954
