system:index,CEC,IntraVarMaxTemp,IntraVarPPT,MAP,MAPVariance,MAT,MATMax,MatMaxVar,PPTSeasonality,SIF2015_mean,Sand,WaterTableDepth,constant,mcwd2015,ppt2015_mean,temp2015_mean,Long,Lat
48,12,2.106597002,117.3353588,1966.428045,330.2290976,298.63403,308.11124,0.444279292,0.512715427,-0.638554591,45,-6.9276695,0,-0.602616178,-0.958637691,1.302846486,-67.14906749,-14.59762337
49,10,1.924646489,124.0492787,2013.496571,253.7542869,298.9931,308.36014,0.343283539,0.539962055,0.33859382,35,-3.993481,0,0.547287742,-0.75056,1.082811851,-66.2507522,-14.59762337
50,9,1.648080965,122.5639003,1905.324556,218.3146615,298.49402,307.07004,0.301539532,0.594560914,-0.699363369,53,-6.6098127,0,-2.111843148,-0.687969388,1.137454722,-64.00496399,-14.59762337
51,8,1.591773592,110.4466129,1717.43059,164.6941233,298.44318,306.72922,0.348021606,0.594075174,-0.633105636,52,-9.810597,0,-2.983716624,-0.915318229,1.32375105,-63.55580635,-14.59762337
52,8,1.546444005,101.7773494,1608.705614,199.8448001,298.07147,306.03293,0.370739473,0.581411534,-0.753089973,51,-14.918165,0,-2.774764449,-0.874411645,1.657747839,-63.10664871,-14.59762337
53,7,1.757303246,100.0563157,1548.637427,193.2883778,298.1294,306.88318,0.359321673,0.553582179,-0.651439111,52,-12.704634,0,-2.028166861,-0.756042584,2.327390635,-62.65749107,-14.59762337
54,8,1.805245254,104.1152169,1493.691408,138.3315064,298.10904,306.83588,0.368585922,0.632912896,-0.419290023,50,-12.438456,0,-2.607750892,-0.305526922,2.273205284,-62.20833343,-14.59762337
55,6,1.87173424,102.8936785,1422.185184,175.629165,298.1274,306.87906,0.355291045,0.647876664,-0.606446198,55,-13.714309,0,-1.583046904,-0.68760571,2.14558608,-61.75917578,-14.59762337
56,10,1.570660203,98.11760264,1384.936172,205.8867833,298.30814,306.43427,0.34664991,0.63740037,-0.648581185,57,-10.1940775,0,-0.949166964,-0.960473422,2.021680591,-60.8608605,-14.59762337
57,9,1.47792991,107.0323031,1505.505942,201.3294007,296.66962,305.18552,0.278978507,0.636252946,-0.690149931,59,-17.90647,0,-1.155901427,-1.248601922,2.790275547,-60.41170286,-14.59762337
58,19,1.367930828,96.9927732,1698.855217,167.0045676,291.8958,300.11325,0.287018576,0.466389646,0.711281463,38,-31.464478,0,-5.890571916,-1.100840718,1.173886581,-68.94569806,-14.14846572
59,15,1.724148701,104.1272007,1839.266366,251.0208236,294.3726,303.07196,0.301243488,0.456891604,0.158327485,42,-26.374397,0,-0.034693481,-1.188862868,1.097012086,-68.49654041,-14.14846572
60,12,1.928160205,111.3748354,1887.833201,289.701171,295.94897,305.19144,0.329940604,0.477394818,0.158327485,41,-21.261068,0,0.212083264,-1.143444414,1.131427029,-68.04738277,-14.14846572
61,11,2.031980185,115.193249,1941.619059,308.0559908,298.43015,307.99023,0.399775472,0.479740018,-0.319734978,37,-4.2369204,0,-0.318155815,-0.987007298,1.438139601,-67.59822513,-14.14846572
62,12,1.671436823,112.7031146,1898.567758,274.9759172,299.1099,307.6625,0.303108879,0.48916412,-0.782508824,37,-2.638222,0,-0.32986578,-1.13436225,1.048229195,-67.14906749,-14.14846572
63,8,1.568095911,115.6652546,1807.901192,183.693992,298.8675,307.22916,0.273535077,0.604313388,-0.072068748,48,-3.1498919,0,-2.496095149,-0.938221678,1.518535001,-64.00496399,-14.14846572
64,7,1.629692788,107.3682987,1645.923473,158.1208779,298.78003,307.03064,0.341482142,0.621150089,-0.135626247,54,-8.964951,0,-1.335407443,-1.037583963,1.744349191,-63.55580635,-14.14846572
65,7,1.586233555,106.9166103,1632.881983,166.6311855,298.47504,306.83505,0.366767084,0.607354266,-0.240143013,54,-6.2575817,0,-2.681836226,-1.300841911,2.239499925,-63.10664871,-14.14846572
66,8,1.596364143,108.8722626,1608.237575,181.6153171,298.3783,306.97403,0.322763614,0.612713889,0.079971735,52,-5.187663,0,-1.984042094,-0.524413715,2.377296192,-62.65749107,-14.14846572
67,6,1.73443697,113.4780982,1612.609351,158.9405223,298.22836,306.89322,0.373047785,0.641992436,-0.395704033,53,-7.855688,0,-17.8357245,-0.419117306,2.442025009,-62.20833343,-14.14846572
68,9,1.74040939,111.9211652,1535.721168,185.9268883,298.33237,307.13733,0.341808386,0.642421911,-1.777283543,55,-5.588192,0,-1.593597594,0.124430674,2.49301025,-61.75917578,-14.14846572
69,8,1.731903885,110.9253693,1569.02065,193.5146542,298.42685,307.31262,0.384140042,0.632687341,-0.506672616,49,-4.4654765,0,-1.764393059,-0.3875541,2.336163858,-61.31001814,-14.14846572
70,8,1.717132678,99.83164769,1495.448795,282.6377067,297.96423,306.62274,0.272866539,0.607443242,-0.692709531,57,-12.920711,0,-0.455558333,-0.467975115,2.114122806,-60.8608605,-14.14846572
