fitted_values,original_values
0.539066209,-0.757485887
0.171692036,-0.310552556
0.019397189,-0.049721581
0.069702143,-3.492024385
0.038593751,-0.326904703
2.134705955,-0.379109483
1.692539357,0.722885148
1.733946604,1.208565659
0.872527521,-0.45598067
1.023434732,-0.45598067
0.643338511,-0.514090087
0.793737115,0.952505541
0.597442178,-0.595868112
0.41190479,-1.357164421
0.470525055,-1.981434751
0.621097739,-1.510913246
0.721225452,-0.540274741
0.607975958,-1.667050837
0.315965252,-1.667050837
0.394515049,0.206236433
0.026889673,-1.090387387
0.494371264,0.047809598
0.072797945,0.207814436
0.169954391,-0.510931383
0.451654834,0.22298275
0.313978425,-1.61530809
0.256098408,-1.198402631
0.44220931,-1.198402631
0.434501556,-0.564487929
0.738497354,-1.164327047
0.434092722,-0.306803419
0.210598959,-1.037766576
0.328643803,0.09376549
-0.002446152,-1.352874006
2.532242565,1.873640767
2.518511188,-1.584210725
1.448786457,0.936396431
1.058277278,-0.391825789
0.600179876,-1.422735967
0.845340343,-1.422735967
0.877460369,-0.446180901
0.625017595,-0.394421763
0.595246598,-0.741968445
0.622803402,-1.013273175
0.756159077,-0.670664282
0.400661096,0.447239725
-0.068527939,-1.466255531
0.151635107,-0.966576503
0.279708084,-0.444741898
0.113152342,-1.836497178
0.333348325,-1.09940743
0.067296918,-1.298615959
0.338769034,-1.298615959
0.42426447,-1.002364649
0.577597412,-1.601597599
0.527708854,-2.042628695
0.731290457,-0.550026148
0.921514504,0.102439848
0.313694335,-0.675203331
0.318863069,-0.137316969
1.952039747,1.873640767
1.12224077,-0.73158157
1.253918248,0.936396431
0.392657721,-0.391825789
0.242570628,-1.422735967
0.491577527,-1.422735967
0.552049839,-0.446180901
0.541945917,-0.394421763
0.454255319,-0.741968445
0.56967284,-1.013273175
0.527236571,-0.670664282
0.389018095,0.447239725
-0.112548249,-0.966576503
0.143660875,-1.09940743
0.098687372,-1.298615959
0.163048576,-1.298615959
0.190355088,-1.002364649
0.462660028,-1.601597599
0.971191936,-0.015706057
1.077709388,-0.5785749
0.889871712,-0.550026148
1.152071927,0.102439848
1.045617066,0.102439848
0.896043741,-1.542183845
0.364062297,-0.675203331
0.457591205,-0.137316969
1.102034447,-0.76450362
0.764258835,0.025163058
0.921165282,-0.878652778
0.038413263,-1.029295525
0.056083326,-0.083343181
0.53450171,-0.083343181
0.462405093,-0.404222374
0.583813438,-0.396525871
0.807539837,-0.337635632
0.560411613,0.200958755
0.347181004,-1.813028159
0.129993565,-1.075605927
-0.15178085,-1.440666606
0.118626932,-0.905837526
0.156436136,-0.981025272
0.107614962,-0.505460213
0.146541169,-0.707862528
0.215832258,-0.707862528
0.606017408,-1.613305992
0.503058632,-1.533135919
0.764606675,-1.452180441
0.773820882,-0.728267699
0.84888194,-0.514785989
0.859208263,-0.553452382
0.432963133,0.343068003
0.400192962,0.559748459
0.776350996,0.017795658
-0.010894695,-1.126668656
0.098923814,0.228454773
0.15428754,0.228454773
0.477224279,-0.959434163
0.669314092,-0.552343532
0.70149478,-1.426316537
0.775663731,-0.053850788
0.662293523,-0.850212382
0.364329946,-1.686154775
-0.017791171,-1.375364986
0.060596474,-0.909495077
0.106660403,-1.924732738
0.208507559,-1.989030068
0.310859732,-1.545948973
0.293175409,-2.1568673
-0.054431562,-1.082427962
0.485516837,-0.509029262
0.4973084,-0.774189524
0.702891363,-1.380971024
0.713899462,-1.354269243
0.96700989,-0.745795058
0.623469905,-0.764403812
1.131273573,1.640469347
0.957417215,-1.273185977
0.042768697,-0.58925766
0.10460788,-0.806622159
0.186675445,-1.064209792
0.275292599,-1.064209792
0.504854912,-1.244926165
0.485150446,0.29728492
0.641984585,-0.899809137
0.590867801,-0.291165495
0.75741883,-0.121494133
0.251851892,-1.808390577
0.12806237,-2.449380452
0.131713272,-1.047891325
0.207898639,-3.467966069
0.086104538,-1.040544397
0.197901554,-1.018462704
0.313839433,-0.427914955
0.53985067,-1.55897519
